,Question,Answer
247,Why is Copenhagen a regional hub?,Its strategic location and excellent infrastructure with the largest airport in Scandinavia[6] located 14 minutes by train from the city centre
248,What happened to Copenhagen between 1251 and 1255?,a bunch of things
249,Is Copenhagen completely surrounded with water? ,No
250,Copenhagen is ranked number one worldwide for which things?,"Most Livable City in the World, "
251,Copenhagen is ranked number one worldwide for which things?,"Most Livable City, Location Ranking Survey"
252,Why did German troops occupy Copenhagen?,Because it was WW2
253,Have cymbals been used historically to suggest bacchanal?,Yes
254,Have cymbals been used historically to suggest bacchanal?,Yes
255,Can the origins of cymbals be traced to prehistoric times?,Yes
256,Can the origins of cymbals be traced to prehistoric times?,Yes
257,Are cymbals used in moden orchestras?,Yes
258,Are cymbals used in moden orchestras?,Yes
259,What are the most common Cymbals?," The most common Cymbals are the Hi-Hats, Crash, Splash, Ride, and China."
260,What are the most common Cymbals?,"Hi-Hats, Crash, Splash, Ride, and China"
261,What is the second main orchestral use of cymbals?,The suspended cymbal is the second main orchestral use of symbals.
262,What is the second main orchestral use of cymbals?,The suspended cymbal
263,What have clash cymbals traditionally been accompanied by?,Clash cymbals have traditionally been accompanied by the bass drum playing an identical part.
264,What have clash cymbals traditionally been accompanied by?,The bass drum playing an identical part
265,What happens when the center of a Cymbal is hit?,It causes a sound which is in a higher register than the rest of the symbal.
266,What happens when the center of a Cymbal is hit?,It causes a sound which is in a higher register than the rest of the cymbal
267,What is an effective way to accentuate a note?,Playing a bass drum playing an identical part is an effective way to accentuate a note.
268,What is an effective way to accentuate a note?,"The combination of a clash cymbol being accompanied by a bass drum playing an identical part, played loudly"
269,From what type of Cymbals can a expert player obtain an enormous dynamic range?,An expert player can obtain an enormous dynamic range from crash cymbals.
270,From what type of Cymbals can a expert player obtain an enormous dynamic range?,Crash cymbals
271,Can the origins of cymbals be traced back to prehistoric times?,yes
272,Can the origins of cymbals be traced back to prehistoric times?,Yes
273,Did the modern hi-hat evolve from clash cymbals?,yes
274,Did the modern hi-hat evolve from clash cymbals?,Yes
275,Is the word cymbal derived from a Germanic word?,No
276,Is the word cymbal derived from a Germanic word?,No
277,What is the center of a cymbal called?,Bell
278,What is the center of a cymbal called?,bell
279,"What part of the cymbal gets the best ""crash""?",Edge or rim
280,"What part of the cymbal gets the best ""crash""?",edge or rim
281,What is the second main orchestral use of cymbals?,the suspended cymbal
282,What is the second main orchestral use of cymbals?,the suspended cymbal
283,What two instruments form the modern drum kit?,the cymbals and the drum
284,What Greek mythical creatures were depicted holding cymbals?,fauns and satyrs
285,What Greek mythical creatures were depicted holding cymbals?,fauns and satyrs
286,What are orchestral crash cymbals technically called?,a pair of clash cymbals
287,What are orchestral crash cymbals technically called?,clash cymbals
288,Is Dhaka the capital of Bangladesh?,Yes
289,Is Dhaka located on the eastern banks of the Buriganga River?,Yes
290,Is University of Dhaka the largest public university in Dhaka?,Yes
291,How much area does Dhaka cover?,1462.60 square kilometers
292,How many people did the 1970 Bhola cyclone kill?,"500,000"
293,When is the end of the independence war of Bangladesh?,"December 16, 1971"
294,Did the Mughals arrive in Dhaka?,Yes
295,Is University of Dhaka older than the Dhaka College?,No
296,What is given for the number of native speakers?,No figure is given for the number of native speakers.
297,Is english an intonation  language?,Yes
298,Is english a de  jure  official  language  of Israel?,no
299,Is the stressed  syllable called the nuclear  syllable?,yes
300,Does english grammar have minimal inflection?,Yes
301,Did old English develop into Middle English?,Yes
302,"Are books, magazines, and newspapers written in English available?",yes
303,Is the syntax of German different with different rules?,yes
304,Is it true that semantics causes a number of false friends?,true
305,"Here , are all syllables unstressed , except the syllables/words best and done , which are stressed ?",yes
306,"Are many words describing the navy , types of ships , and other objects or activities on the water of dutch origin ?",yes
307,"Are local variations in the formal written version of the language quite limited , being restricted largely to the spelling differences between British and American English ?",yes
308,Is the flute a musical instrument?,Yes.
309,Is the flute a musical instrument?,Yes
310,Is it possible to open flutes at one or both ends?,Yes.
311,Is it possible to open flutes at one or both ends?,Yes
312,Are Indian concert flutes available in standard pitches?,Yes.
313,Are Indian concert flutes available in standard pitches?,Yes
314,What do we refer musicians who play flute?,"A flute player, a flautist or a flutist. "
315,What do we refer musicians who play flute?,"A flute player, a flautist, or a flutist"
316,When was a three-holed flute made from a mammoth tusk discovered?,2004.
317,When was a three-holed flute made from a mammoth tusk discovered?,In 2004
318,When did the tin whistle first appear?,12th century.
319,When did the tin whistle first appear?,In the 12th century
320,What are the oldest known musical instruments?,A three holed-flute made from a mammoth tusk and two flutes made from swan's bones.
321,What are the oldest known musical instruments?,A three-holed flute made from a mammoth tusk and two flutes made from swans' bones are among the oldest known musical instruments
322,When was the pan flute spread to other parts of Europe?,7th century BC.
323,When was the pan flute spread to other parts of Europe?,After the 7th century BC
324,What does the air stream across this hole create?,"A Bernoulli, or siphon."
325,Are foxes wary of humans?,Yes
326,Are foxes wary of humans?,Yes
327,Are fennec foxes endangered?,no
328,Are fennec foxes endangered?,No
329,Does the diet of foxes include reptiles?,yes
330,Does the diet of foxes include reptiles?,Yes
331,How long do most foxes live?,"Most foxes live 2 to 3 years, but they can survive for up to 10 years or even longer in captivity."
332,How long do most foxes live?,2 to 3 years
333,In what country did fox hunting originate?,the United Kingdom
334,In what country did fox hunting originate?,in the United Kingdom
335,What is the smallest species of fox?,The Fennec Fox is the smallest species of fox. 
336,What is the smallest species of fox?,the Fennec Fox
337,What are female foxes called?,vixens
338,What are female foxes called?,vixens
339,What is caching food?,"Caching is burying it for later consumption, usually under leaves, snow, or soil."
340,What is caching food?,burying it for later consumption
341,Do foxes damage fruit on farms?,No
342,How many years ago did African people spread across 31 francophone African countries can speak French either as a first or second language?,2 years ago
343,"In Old French, was the plural  for animal animals?",Yes
344,Is catalan the only  official  language  of Andorra?,Yes
345,"In Belgium, however, is quatre-vingts universally used?",Yes
347,Is french taught in many schools as a primary language along with Arabic?,Yes
348,"What is widely used by the Lebanese, especially for administrative purposes?",French
349,Is french descendant of the Latin language?,Yes
350,Are there also a variety of regional languages In addition?,Yes
351,Is it true that france signed the European Charter for Regional Languages?,Yes
355,Are the prefixes en- and em- always nasalized ?,Yes
358,How many years ago was the Luther Bible by Martin Luther printed?,475
359,Is german an inflected  language?,yes
360,"In Switzerland, is Ã used at all?",no
361,Are there two common  word  orders?,yes
362,Are feminines declined in the singular?,no
363,Is 9 %  of the Internet  population German?,no
364,Is german written using the Latin  alphabet?,Yes
365,Was the Luther Bible by Martin Luther printed?,Yes
366,Does a  tz indicate that the preceding vowel is short?,no
367,"Are there 622,650 speakers of German In Canada?",Yes
368,Are there also large populations of German ancestry In Mexico?,yes
369,Would BundeslÃ¤nder not accept North Rhine Westphalia and Bavaria ?,yes
370,"Have adverbs of time to appear in the third place in the sentence , just after the predicate ?",Yes
371,Do both sexes of giraffe have horns?,Yes
372,Do both sexes of giraffe have horns?,yes
373,Do giraffes give birth standing up?,Yes
374,Do giraffes give birth standing up?,yes
375,Are giraffes hunted for their hides?,Yes
376,Are giraffes hunted for their hides?,Yes
377,What areas can giraffes inhabit?,"savannas, grasslands, or open woodlands"
378,What areas can giraffes inhabit?,"inhabit savannas, grasslands, or open woodlands"
379,What will a giraffe use to clean off any bugs that appear on its face?,extremely long tongue 
380,What will a giraffe use to clean off any bugs that appear on its face?,It's extremely long tongue
381,How do giraffes defend themselves?,with a powerful kick
382,How do giraffes defend themselves?,With powerful kicks
383,Do male giraffes weigh more than female giraffes?,Yes
384,Do male giraffes weigh more than female giraffes?,yes
385,Do male giraffes have larger horns than female giraffes?,Yes
386,Do male giraffes have larger horns than female giraffes?,Yes
387,Are male females generally taller than female giraffes?,Yes
388,Was Henri Becquerel one of the discoverers of radioactivity?,Yes
389,Was Henri Becquerel one of the discoverers of radioactivity?,Yes
390,Is the SI unit for radioactivity named after him?,Yes
391,Is the SI unit for radioactivity named after him?,Yes
392,Was Henri Becquerel a French physicist?,Yes
393,Was Henri Becquerel a French physicist?,Yes
394,In what year did Henri Becquerel die?,1908
395,In what year did Henri Becquerel die?,"August 24, 1908"
396,Where was Henri Becquerel born?, Paris 
397,Where was Henri Becquerel born?,Paris
398,In what year did Henri Becquerel win the Nobel Prize in Physics?,1903
399,In what year did Henri Becquerel win the Nobel Prize in Physics?,1903
400,Was Henri Becquerel first in his family to occupy the physics chair at the Museum National d'Histoire Naturelle?,No
401,Was Henri Becquerel first in his family to occupy the physics chair at the Museum National d'Histoire Naturelle?,No
402,Was Henri Becquerel the sole winner of the 1903 Nobel Prize in Physics?,No
403,Was Henri Becquerel the sole winner of the 1903 Nobel Prize in Physics?,No
404,Did Henri Becquerel intentionally discover radioactivity?,No
405,Did Henri Becquerel intentionally discover radioactivity?,He discovered it accidentally
406,"If Henri Becquerel was alive today, how old would he have been?",157
407,For how many years did Henri Becquerel live?,56
408,Did Henri Becquerel live to be 80 years old?,no
409,What was Henri Becquerel`s profession?,physisist
410,How old was Henri Becquerel when he died?,53
411,How many years ago was it when he became the third in his family to occupy the physics chair at the Musum National d`Histoire Naturelle?,117
412,"In 1908, the year  of his death, was Becquerel elected Permanent Secretary  of the AcadÃ©mie  des  Sciences?",Yes
413,When was Henri Becquerel born?,"December 15, 1852"
414,Did he become chief engineer in the Department of Bridges and Highways?,Yes
415,Did he share the Nobel Prize in Physics?,Yes
416,Is it true that Becquerel wrapped a fluorescent substance in photographic plates?,Yes
417,Becquerel wrapped a fluorescent substance in what?,photographic plates and black material
418,Is there a Becquerel crater on the Moon for radioactivity?,Yes
419,Must â¦ One conclude from these experiments that the phosphorescent substance in question emits rays which pass through the opaque paper and reduces silver salts ?,Yes
420,What is Henri Becquerel?,Henri Becquerel was a famous physicist.
421,Where is Henri Becquerel from?,Paris
422,What does Henri Becquerel do?,was a physisist
423,What does Henri Becquerel do?,Henri Becquerel was a physicist.
424,Was Newton a English physicist?,Yes.
425,Was Newton a English physicist?,Yes
426,Did Newton reject the church's doctrine of the Trinity?,Newton may have rejected the church's doctrine of the Trinity.
427,Did Newton reject the church's doctrine of the Trinity?,Maybe
428,Was Newton admitted into Havard College?,No.
429,Was Newton admitted into Havard College?,"Maybe, but it doesn't say so in the article"
430,When was Newton's date of birth recorded?,"Christmas Day, Decembeer 25, 1642."
431,When was Newton's date of birth recorded?,"his date of birth was recorded as Christmas Day, December 25, 1642"
432,How many laws of motion did Netwon have?,Three
433,How many laws of motion did Netwon have?,Three
434,Who did Newton see as the master creator?,God
435,Who did Newton see as the master creator?,Newton saw God as the master creator whose existence could not be denied in the face of the grandeur of all creation
436,When did Netwon investigate the refraction of light,From 1670 to 1672
437,When did Netwon investigate the refraction of light,1670-1672
438,What principles did Newton explain for mechanics?,The principles of conservation of momentum and angular momentum
439,What principles did Newton explain for mechanics?,"In mechanics, Newton enunciated the principles of conservation of momentum and angular momentum"
440,Interaction with what man stirred up Newton's interest in alchemy?,Henry More
441,Interaction with what man stirred up Newton's interest in alchemy?,"The contact with the theosophist Henry More, revived his interest in alchemy"
461,James Watt's improvements of what were fundamental to the changes wrought by the Industrial Revolution?,The steam engine.
462,James Watt's improvements of what were fundamental to the changes wrought by the Industrial Revolution?,steam engine
463,James Watt was born where?,"Greenock, a seaport on the Firth of Clyde"
464,What was the name of James Watt's mother?,Agnus Muirhead
465,What was the name of James Watt's mother?,Agnes Muirhead
466,How many of James Watt's children did not live to adulthood?,3
467,How many of James Watt's children did not live to adulthood?,3
468,James Watt ranked first among how many people in Charles Murray's survey of historiometry?,229
469,James Watt ranked first among how many people in Charles Murray's survey of historiometry?,229
470,In what year did James travel to Lodon to study instrument-making?,1753
471,For how many years of James Watt's life was his mother alive?,17 years
472,What is James Watt most famous for?,Steam engine.
479,Do most Japanese people employ politeness?,yes
480,Is it true that Japanese borrowed a considerable number of words?,yes
484,Are the several dialects of Kagoshima famous to speakers?,yes
490,Is Lima the capital of Peru?,Yes.
491,Is the Museum of Gold in Lima?,Yes.
492,Does Lima have volleyball venues?,Yes.
493,When was Lima founded?,"January 18,1535."
494,Where is the Park of the Reserve located?,Near the downtown area.
495,What is a colectivo?,Automobiles that renders express service on some major roads of the Lima Metropolitan Area.
496,Is the National University of San Marcos in Lima?,Yes.
497,Has the San Lorenzo Megaport Project been completed?,No.
498,How many years ago was the Lima Stock Exchange the most profitable in the world?,Three
499,Is rainfall very low?,Yes.
500,Is lima the capital  and  largest  city  of Peru?,Yes.
501,"Is The GDP  per capita in Lima $ 7,600  /  ref )?",Yes.
502,The Spanish Crown named Pizarro governor of what?,Hemming.
503,Is it true that the ideas of the Enlightenment shaped the development of the city?,Yes.
504,The ideas of the Enlightenment shaped the development of what?,"the city, Lima"
505,Is London the capital of the United Kingdom?,Yes
506,Is London the capital of the United Kingdom?,Yes
507,Does London's population draw from a wide range of religions?,Yes
508,Does London's population draw from a wide range of religions?,Yes
509,Did Caunte take control of the English throne in 101?,No
510,Over how many languages are spoken in London?,Over 300 languages are spoken in london
511,Over how many languages are spoken in London?,Over 300
512,What had the Anglo-Saxons created by the 600s?,"By the 600s, the Anglo-Saxons had created a new settlement called Lundenwic."
513,What had the Anglo-Saxons created by the 600s?,a new settlement called Lundenwic
514,What city in the UK has been subjected to bouts of terrorism?,London has been subjected to bouts of terrorism.
515,What city in the UK has been subjected to bouts of terrorism?,London
516,What countries did James VI of Scotland unite?,James VI of Scotland united Scotland and England.
517,What countries did James VI of Scotland unite?,England and Scotland
518,How did civil wars affect England during the Middle Ages?,London remained relatively untouched
519,Are the strings of a classical lyre made of gut?,Yes
520,Does a classical lyre have a sound-chest?,Yes
521,Is lyre played in mordern Greece?,No
522,Which part of the strings does the left hand touch?,The lower strings
523,In which place is lyre still played?,North-eastern parts of Africa
524,Does a classical lyre have a fingerboard?,Yes
525,Is a guitar played with a plectrum like a lyre?,Yes
526,Was Michael Faraday an English chemist?,yes
527,Was Michael Faraday an English chemist?,yes
528,Was Faraday a devout Christian?,yes
529,Was Faraday a devout Christian?,yes
530,Was Faraday considered a gentleman?,no
531,Was Faraday considered a gentleman?,no
532,Who was a member of the Sandemanian sect of Christianity?,yes
533,Who was a member of the Sandemanian sect of Christianity?,Faraday
534,What did Joseph Henry likely discover?,self-induction
535,What did Joseph Henry likely discover?,self-induction
536,What did the University of Oxford grant Faraday?,a Doctor of Civil Law degree (honorary)
537,What did the University of Oxford grant Faraday?,Doctor of Civil Law degree (honorary)
538,Who was made to travel outside the coach?,Faraday
539,Did Faraday construct the ancestor of modern power generators?,yes
540,Did Faraday construct the ancestor of modern power generators?,yes
541,Did Faraday lecture on education in 1854?,yes
542,Did Faraday lecture on education in 1854?,yes
543,Did Faraday receive an extensive formal education?,no
544,Did Faraday receive an extensive formal education?,no
545,Did Faraday discover the chemical substance benzene?,yes
546,Did Faraday discover the chemical substance benzene?,yes
547,Was Faraday born in England?,yes
548,Was Faraday born in England?,yes
549,What do some historians of science refer to Faraday as?,the best experimentalist in the history of science
550,What do some historians of science refer to Faraday as?,best experimentalist in the history of science
551,Who was the sponsor and mentor of Faraday?,John 'Mad Jack' Fuller
552,Who was the sponsor and mentor of Faraday?,John 'Mad Jack' Fuller
553,What did Faraday invent that is used almost universally in science laboratories?,the Bunsen burner
554,What did Faraday invent that is used almost universally in science laboratories?,Bunsen burner
555,Does the production of chemical weapons raise an ethical issue?,yes
556,What was the Faraday effect first called?,diamagnetism
557,What was the Faraday effect first called?,diamagnetism
558,Can you meet someone through attending a church?,yes
559,What was Michael Faraday`s birthplace?,Newington Butts
560,What was Michael Faraday`s profession?,chemist and physicist
561,"How many years ago did Faraday report on the first synthesis of compound make from carbon and chlorine , c 2 h 6 and c 2 h 4 ?",189
562,"How many years ago was it when he discovered the phenomenon that he named diamagnetism , and what is now called the Faraday effect?",164
563,"How many years ago was it when Faraday wrote a letter to The Times on the subject of the foul condition of the River Thames , which resulted in an oft-reprinted cartoon in Punch?",154
564,How many years ago was it when he discovered that the optical properties of gold colloids differed from those of the corresponding bulk metal?,162
565,Was education another area  of service  for Faraday?,yes
566,Was faraday `s  earliest  chemical  work as an assistant  to Davy?,Yes
567,"Who died at his house at Hampton Court on August 25, 1867?",Faraday
568,When was Michael Faraday born?,"September 22, 1791"
569,Where did he serve two terms?,the Church of Scotland
570,"Who was born in Newington Butts, near present-day South London, England?",Michael Faraday
571,Is it true that institution formed the foundation of electric motor technology?,no
572,Institution formed the foundation of what?,modern electromagnetic technology
573,Was his father member of the Sandemanian sect?,yes
574,Was faraday Christian of the small Sandemanian denomination?,yes
575,Is Nassau Sound a body of water in Maine?,no
576,Was Nassau placed in operation by Robert Fulton?,yes
577,Who was Fort Nassau built by?,the Dutch
578,What is Nassau Coliseum?,"an arena in Uniondale, New York, USA"
579,What was the Dead or Alive 4 fighting arena modeled after?,a Magnetic Accelerator Cannon station from Halo 2
580,Is Nassau Range the highest mountain range in the world?,no
581,Is Nassau County named after a German town?,yes
582,Does the United States have a base near Glasgow?,yes
583,Did Tesla study electrical engineering?,Yes
584,Did Tesla study electrical engineering?,yes
585,Was Tesla born in the United States?,No
586,Was Tesla born in the United States?,no
587,Was Tesla hired by Edison?,Yes
588,Was Tesla hired by Edison?,yes
589,When did Tesla demonstrate wireless communication (radio)?,1893
590,When did Tesla demonstrate wireless communication (radio)?,1893
591,What is the SI unit measuring magnetic flux density or magnetic induction?,the tesla
592,What is the SI unit measuring magnetic flux density or magnetic induction?,the tesla
593,Was Tesla regarded as a mad scientist?,Yes
594,Was Tesla regarded as a mad scientist?,yes
595,What type of current did Tesla invent?,AC
596,"Who was the victor of the ""War of Currents""?",Tesla
597,"Who was the victor of the ""War of Currents""?",Nikola Tesla
598,Where did Tesla study electrical engineering?,the Austrian Polytechnic in Graz 
599,Where did Tesla study electrical engineering?,Austrian Polytechnic in Graz
600,Is Ottawa the capital of Canada?,Yes
601,Does Ottawa sit on the Ottowa River?,Yes
602,Do small tremors occur in Ottawa?,Yes
603,What is Ottawa's population?,"1,190,982"
604,What are Ottawa's primary industries?,Logging and lumber
605,What is Ottawa's junior ice hockey team?,the Ottawa 67's
606,What is Ottawa's major league hockey team?,the Ottawa Senators
607,What are Carleton University's athletic teams called?,Carleton Ravens
608,Is Ottawa colder than Moscow in January?,Yes
609,Is Ottawa on a river?,yes
610,Is Ottawa on a river?,yes
611,Does it snow in Ottawa?,yes
612,Does it snow in Ottawa?,yes
613,Was there a cholera outbreak in 1832?,yes
614,Was there a cholera outbreak in 1832?,yes
615,Who is the mayor of Ottawa?,Larry O'Brien
616,Who is the mayor of Ottawa?,Larry O'Brien
617,How many townships are in Ottawa?,eleven
618,How many townships are in Ottawa?,eleven
619,What's the main highway in Ottawa?,"Highway 417, The Queensway"
620,What's the main highway in Ottawa?,provinical Highway 417
621,What was Ottawa's name in 1850?,Bytown
622,What was Ottawa's name in 1850?,Bytown
623,"Based on the average, in what year will the next small tremor occur in Ottawa?",2009
624,"Based on the average, in what year will the next small tremor occur in Ottawa?",2009
625,Where were immigrants from in the 1800s?,Irish
626,Where were immigrants from in the 1800s?,Ireland
627,Are there also discussions of having OC Transpo Light Rail and STO Transitway networks linking on the Gatineau side of the Ottawa River ?,Yes.
628,Does the giant otter live in South America?,Yes
629,Does the giant otter live in South America?,yes
630,Do otters have claws?,Yes
631,Do otters have claws?,yes
632,Do otters eat fish?,Yes
633,Do otters eat fish?,yes
634,What is an otter's den called?,A holt
635,What is an otter's den called?,holt
636,Where do sea otters live?,Beside water
637,Where do sea otters live?,Pacific coast of North America
638,Why are otters vulnerable to prey depletion?,Prey-dependence
639,Why are otters vulnerable to prey depletion?,prey-dependency
640,Do otters enjoy playing?,Yes
641,Do otters enjoy playing?,yes
642,Do sea otters have a layer of fat like whales?,No
643,Do sea otters have a layer of fat like whales?,no
644,Is the otter in the same family as the badger?,Yes
645,Is the otter in the same family as the badger?,yes
646,Are there any cities named Santiago in the United States?,yes
647,Are there any cities named Santiago in the United States?,Yes
648,Was Santiago the name of an indie/punk band?,yes
649,Was Santiago the name of an indie/punk band?,Yes
650,Is Santiago a name in Spanish?,yes
651,Is Santiago a name in Spanish?,Yes
652,What is the origin of the name Santiago?,Spanish for St. James
653,What is the origin of the name Santiago?,"sanit + iago, James"
654,Who has released an album or song named Santiago?,The Chieftains; Loreena McKennitt
655,Who has released an album or song named Santiago?,The Chieftains and Loreena McKennitt
656,What is the Order of Santiago?,a Spanish knightly order
657,What is the Order of Santiago?,a Spanish Knightly order
658,What notable people have been named Santiago?,"Benito Santiago, Hugo Santiago, Joey Santiago, Liliana Santiago, Rafael Santiago Maria, Santiago Caballero, Santiago Cabrera; James, son of Zebedee"
659,What notable people have been named Santiago?,"Benito, Hugo, and others"
660,What fictional stories include a main character named Santiago?,"Gears of War, Rainbow Six: Covert Operations Essentials, Death Foretold by Gabriel GarcÃ­a MÃ¡rquez, Ernest Hemingway's The Old Man and the Sea, the television series Babylon 5, Anne Rice's novel Interview with the Vampire, aulo Coelho's The Alchemist (novel), the television show Friday Night Lights"
661,What fictional stories include a main character named Santiago?,"Interview with the Vampire, The Alchemist, and others"
662,Is Santiago the national capital of a country?,Yes
663,"Is santiago Spanish for St. James  ( from santo ,  saint  +  iago ,  James  )?",Yes
664,Is santiago Spanish for St. James?,Yes
665,What is Santiago?,"Santiago is Spanish for St. James. It is also the name of places in Argentina, Brazil, Cape Verde, Chile, Colombia, Costa Rica, Cuba, the Dominican Republic, Ecuador, Guatemala, Jamaica, Mexico, Nicaragua, Panama, Paraguay, Peru, the Philippines, Portugal, Spain, the United States, Venezuela, and the Amazon. It is also the name of a baseball catcher, a film director, a guitarist, an economist, a footballer, a DJ, an actor, and James, son of Zebedee. Fictional people with this name include a character from Gears of War, a character from Chronicle of a Death Foretold, a character in Old Man and the Sea, a character in Babylon 5, a character in Interview with the Vampire, the main character of The Alchemist, and a character on Friday Night Lights. There has also been a battle of Santiago de Cuba, a couple of bands named Santiago, an Order of Santiago, and ""Santiago"" as a shortened form of the Reconquista battle cry."
692,Has swahili no diphthongs?,No
693,Is a third  prefix the object  prefix?,Yes
701,Is      / ref Swahili unusual among sub-Saharan languages?,Yes
703,"Are vowels never reduced , regardless of stress ?",Yes
704,Does the Australian Black Swan have white feathers on its wings?,yes
705,Does the Australian Black Swan have white feathers on its wings?,Yes
706,Do swans belong to the family Anatidae?,yes
707,Do swans belong to the family Anatidae?,Yes
708,Can black swans swim with only one leg?,yes
709,Can black swans swim with only one leg?,Yes
710,What are young swans known as?,cygnets
711,What are young swans known as?,Cygnets
712,What is the Irish legend of the Children of Lir about?,a stepmother transforming her children into swans for 900 years
713,What is the Irish legend of the Children of Lir about?,A stepmother transforming her children into swans for 900 years
714,What is the Sanskrit word for swan?,hamsa or hansa
715,What is the Sanskrit word for swan?,Hamsa or hansa
716,"Which album was the song ""The Bonny Swans"" from?",The Mask and Mirror
717,"Which album was the song ""The Bonny Swans"" from?",The Mask and Mirror
718,What is the Polish word for swan?,&#321;ab&#281;d&#378;
719,What is the Polish word for swan?,ÅabÄdÅº
720,Which ballet by Pyotr Tchaikovsky is partially based on an Ancient German legend about a princess who was turned into a swan?,Swan Lake
721,Which ballet by Pyotr Tchaikovsky is partially based on an Ancient German legend about a princess who was turned into a swan?,Swan Lake
722,Are swan birds of the family Anatidae?,Yes.
723,Are swan birds of the family Anatidae?,Yes
724,Do swans feature strongly in mythology?,Yes.
725,Do swans feature strongly in mythology?,Yes
726,Is the Trumpeter Swan the largest bird?,It is the largest bird of North America.
727,Is the Trumpeter Swan the largest bird?,The Trumpeter Swan is the largest bird of North America
728,What is the name of young swans?,Cygnets.
729,What is the name of young swans?,Cygnets
730,"Where is the word ""swan"" derived from?",Old English swan.
731,"Where is the word ""swan"" derived from?","The Old English word ""swan,"" derived from the Indo-European root ""*swen"", meaning to sound or to sing"
732,What is the best known story about a swan?,The Ugly Duckling fable.
733,What is the best known story about a swan?,The Ugly Duckling
734,Are swans and ducks birds of the same family?,Yes.
735,Are swans and ducks birds of the same family?,Yes
736,What is the name of an adult female?,Pen.
737,What is the name of an adult female?,An adult female swan is called a pen.
738,What is the color of the Australian Black Swan?,Completely black except for the white flight feathers on its wings.
739,What is the color of the Australian Black Swan?,Completely black except for the white feathers on its wings
740,Is the Tiger a member of the Felidar family?,No.
741,Is the Tiger a member of the Felidar family?,No
742,Are tigers solitary animals?,Yes.
743,Are tigers solitary animals?,Yes
744,Are panthers a type of tiger?,No.
745,Are panthers a type of tiger?,No
746,What do tigers' powerfully built legs and shoulders allow tigers to do?,They have the ability to pull down prey substantially heavier than themselves.
747,What do tigers' powerfully built legs and shoulders allow tigers to do?,have the ability to pull down prey substantially heavier than themselves
748,What would a tiger do when seized by a crocodile?,A tiger will strike at the reptile's eyes with its paws.
749,What would a tiger do when seized by a crocodile?,strike at the reptile's eyes with its paws
750,What are the typical features of a tiger country?,"It will always have good cover, it will always be close to water and plenty of prey."
751,What are the typical features of a tiger country?,"Good cover, close to water, and plenty of prey "
752,Would it be common for tigers to mate in January?,Yes.
753,Would it be common for tigers to mate in January?,Yes
754,About how many square kilometers would be needed to house 3 female tigers?,60 square kilometers
755,About how many square kilometers would be needed to house 3 female tigers?,60
756,"Would a tiger be likely to feedon smaller animals, such as mice?",Yes
757,Did the predecessors to trumpets have valves?,No
758,Are trumpets constructed of brass?,Yes
759,Is the bass trumpet the smallest trumpet?,No
760,What musical styles is the trumpet used in?,"Ska, ska punk, classical, jazz, Rock, Blues, pop, polka, cuban music, mariachi and funk."
761,What is the most common type of trumpet?,The B trumpet.
762,How does a trumpet produce sound?,By blowing air through closed lips.
763,How do trumpets compensate for wolf tones?,Somce trumpetes have a slide mechanism built in to compensate.
764,Did Miles Davis play the trumpet?,Yes
765,Does a trumpet have a mellower tone than a cornet?,No
766,Is the name of the upper shell of a turtle called the plastron?,No.
767,Do scutes fall away from the turtle's shell?,Some of the scutes eventually fall away from the shell.
768,Do scutes fall away from the turtle's shell?,"yes, eventually"
769,Do Terrestrial tortoises have short feet?,Yes.
770,Do Terrestrial tortoises have short feet?,yes
771,How many groups are turtles broken down into?,Two
772,How many groups are turtles broken down into?,two
773,Where are the only surviving giant tortoises?,They are on the Seychelles and GalÃ¡pagos Islands.
774,Where are the only surviving giant tortoises?,Seychelles and Galápagos Islands
775,How do turtles chew food?,Turtles use their jaws to cut and chew food.
776,How do turtles chew food?,Turtles use their jaws to cut and chew food
777,Are tortoises land based?,Yes.
778,Are tortoises land based?,yes
779,Where are turtle eggs layed?,Turtles lay eggs on land.
780,Where are turtle eggs layed?,on land
781,Is turtle soup considered a delicacy?,No.
782,Is turtle soup considered a delicacy?,yes
783,Are Testudines the crown group of the superorder Chelonia?,yes
784,Are Testudines the crown group of the superorder Chelonia?,Yes
785,Do turtles breathe air?,yes
786,Do turtles breathe air?,Yes
787,Are harvesting wild turtles legal anywhere?,yes
788,Approximately how many species of Testudines are alive today?,300
789,Approximately how many species of Testudines are alive today?,300
790,Where is harvesting wild turtles legal?,Florida
791,Where is harvesting wild turtles legal?,Florida
792,What was the largest ever chelonian?,Archelon ischyros
793,What was the largest ever chelonian?,The great letherback sea tutrtle
794,Is there a way to approximate the age of a turtle?,yes
795,Is there a way to approximate the age of a turtle?,Yes
796,Can turtles spend all their time underwater?,no
797,Can turtles spend all their time underwater?,No
798,Are violinists and fiddlers the same thing?,Yes
799,Are violinists and fiddlers the same thing?,Yes
800,Are violins a single size?,no
801,Are violins a single size?,No
802,Are violas and cellos in the same family of instruments as violins?,yes
803,Are violas and cellos in the same family of instruments as violins?,Yes
804,"Where does the word ""violin"" come from?","the Middle Latin word vitula, meaning ""stringed instrument"""
805,"Where does the word ""violin"" come from?",the Middle Latin word vitula
806,What is someone who makes violins called?,"a luthier, or simply a violin maker"
807,What is someone who makes violins called?,a luthier
808,How many strings does a violin usually have?,four
809,How many strings does a violin usually have?,4
810,What are violins made of?,different types of wood
